a badly-behaved/well-behaved child|一个行为不端/乖巧的孩子
act|行动/行为/法案
address|地址/演讲/处理
behave|行为/表现
behaviour|行为/举止
civilized|文明的/开化的
complain (to sb.) about/of sth.|向某人抱怨某事
embarrass|使尴尬
embarrassed|尴尬的
embarrassing|令人尴尬的
embarrassment|尴尬/窘境
entitled|有权利的/被赋予标题的
extend a warm welcome to|热情欢迎
extensive|广泛的
first-class|一流的/头等舱
from a habit of|由于习惯
have good/bad manners|有良好/坏的礼仪
impolite|不礼貌的
impress|给人印象
impression|印象
impressive|令人印象深刻的
interact|互动
interaction|互动/交互
interactive|互动的
make/leave a deep impression on|留下深刻印象
occasion|场合/事件
occasional|偶尔的
occasionally|偶尔地
pay attention to table manners|注意餐桌礼仪
polite|礼貌的
politely|礼貌地
politeness|礼貌
privacy|隐私
private|私人的
privately|私下地
put up with|忍受
respect|尊重
respectable|值得尊敬的
respected|受尊敬的
respectful|尊重的
respectfully|尊重地
respective|各自的
respectively|分别地
rushing a meal|匆忙吃饭
second-class|二等舱/二流的
show/pay one's respects to sb.|向某人致敬
sociable|好交际的
social|社交的/社会的
socialise/socialize|社交/交往
stretch|拉伸/延伸
turn down/refuse/decline the invitation|拒绝邀请
was greeted with enthusiastic reviews|收到热情的评价
